index,match_id,frame_start,frame_end,time_start,time_end,period,attacking_side_id,attacking_side,minute_start,second_start,duration,event_type_id,event_type,event_subtype_id,event_subtype,player_id,player_name,player_in_possession_id,player_in_possession_name,player_possession_frame_start,team_id,team_shortname,x_start,y_start,channel_id_start,channel_start,third_id_start,third_start,penalty_area_start,x_end,y_end,channel_id_end,channel_end,third_id_end,third_end,penalty_area_end,trajectory_angle,distance_covered,speed_avg,targeted,received,lead_to_shot,lead_to_goal,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,in_to_out,out_to_in,simultaneous_runs,give_and_go,passing_option,passing_option_start,location_to_player_in_possession_id_start,location_to_player_in_possession_start,location_to_player_in_possession_id_end,location_to_player_in_possession_end,distance_to_player_in_possession_start,distance_to_player_in_possession_end,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_channel_id_start,player_in_possession_channel_start,player_in_possession_third_id_start,player_in_possession_third_start,player_in_possession_penalty_area_start,player_in_possession_x_end,player_in_possession_y_end,player_in_possession_channel_id_end,player_in_possession_channel_end,player_in_possession_third_id_end,player_in_possession_third_end,player_in_possession_penalty_area_end,delta_to_last_defensive_line_start,delta_to_last_defensive_line_end,delta_to_last_defensive_line_gain,last_defensive_line_height_start,last_defensive_line_height_end,last_defensive_line_height_gain,intended_run_behind,break_defensive_line,push_defensive_line,inside_defensive_shape_start,inside_defensive_shape_end,separation_start,separation_end,separation_gain,received_in_space,opponents_ahead_start,opponents_ahead_end,opponents_overtaken
250,952209.0,27212,27226,45:19.2,45:20.6,1,2,right_to_left,45,19,1.4,1,off_ball_run,6,pulling_half_space,31930,X. Simons,24466,J. Timber,27210,330.0,Netherland,19.48,-7.08,3,center,3,attacking_third,False,18.23,-14.4,4,half_space_right,3,attacking_third,False,-99.69,7.44,18.85,False,False,False,False,False,False,0.0099,0.7668,0.7145,True,False,0,False,True,True,3,ahead,3,ahead,20.57,18.16,-1.09,-7.16,3,center,2,middle_third,False,1.08,-8.42,3,center,2,middle_third,False,3.98,4.91,0.93,29.04,29.36,0.32,False,False,False,True,True,5.62,4.45,-1.18,False,4,4,0
251,952209.0,27238,27249,45:21.8,45:22.9,1,2,right_to_left,45,21,1.1,1,off_ball_run,9,support,14407,L. Geertruida,10082,S. Berghuis,27237,330.0,Netherland,5.83,-29.48,5,wide_right,2,middle_third,False,10.49,-30.76,5,wide_right,2,middle_third,False,-15.36,4.45,15.85,False,False,False,False,False,False,0.0019,0.9692,0.6256,False,False,0,False,True,True,1,behind,2,same_line,14.57,15.38,14.91,-18.08,4,half_space_right,2,middle_third,False,13.33,-15.64,4,half_space_right,2,middle_third,False,18.19,14.05,-4.14,28.48,27.96,-0.52,False,False,False,False,False,12.53,12.65,0.11,False,9,8,1
252,952209.0,27280,27323,45:26.0,45:30.3,1,1,left_to_right,45,26,4.3,1,off_ball_run,8,run_ahead_of_the_ball,11630,J. Koundé,5922,K. Coman,27279,4.0,France,-31.9,-21.41,5,wide_right,1,defensive_third,False,-11.65,-32.6,5,wide_right,2,middle_third,False,-28.92,24.04,20.29,False,False,False,False,False,True,0.0029,0.52,0.9368,False,False,0,True,True,True,1,behind,3,ahead,10.94,19.12,-21.36,-18.49,4,half_space_right,1,defensive_third,False,-29.94,-27.04,5,wide_right,1,defensive_third,False,30.97,11.89,-19.08,53.43,52.26,-1.17,False,False,False,False,False,3.56,8.85,5.29,False,10,3,7
253,952209.0,27496,27513,45:47.6,45:49.3,1,2,right_to_left,45,47,1.7,1,off_ball_run,10,underlap,7387,M. Depay,7863,N. Aké,27486,330.0,Netherland,21.65,26.58,1,wide_left,3,attacking_third,False,30.81,24.03,1,wide_left,3,attacking_third,False,-15.56,8.87,20.11,False,False,False,False,True,False,0.0347,0.6604,0.8934,False,False,0,False,True,False,1,behind,2,same_line,7.75,3.55,27.11,32.08,1,wide_left,3,attacking_third,False,31.23,27.56,1,wide_left,3,attacking_third,False,14.16,7.01,-7.15,16.69,14.68,-2.01,False,False,False,True,True,1.62,2.87,1.26,False,7,5,2
254,952209.0,27514,27521,45:49.4,45:50.1,1,2,right_to_left,45,49,0.7,1,off_ball_run,9,support,7863,N. Aké,3837,G. Wijnaldum,27519,330.0,Netherland,31.59,27.21,1,wide_left,3,attacking_third,False,33.95,25.04,1,wide_left,3,attacking_third,False,-42.6,2.78,16.46,False,False,False,False,False,True,0.0149,0.6426,0.7665,False,False,1,True,True,True,1,behind,2,same_line,5.55,6.84,35.66,30.98,1,wide_left,3,attacking_third,False,36.86,31.23,1,wide_left,3,attacking_third,False,6.37,5.17,-1.2,14.54,13.38,-1.16,False,False,False,False,True,2.14,2.18,0.04,False,5,5,0
255,952209.0,27514,27525,45:49.4,45:50.5,1,2,right_to_left,45,49,1.1,1,off_ball_run,10,underlap,7387,M. Depay,3837,G. Wijnaldum,27519,330.0,Netherland,31.42,23.79,1,wide_left,3,attacking_third,False,37.27,22.73,1,wide_left,3,attacking_third,False,-10.27,5.6,19.66,False,False,False,False,False,True,0.018,0.608,0.8592,False,False,1,False,True,True,1,behind,2,same_line,8.35,8.41,35.66,30.98,1,wide_left,3,attacking_third,False,37.29,31.14,1,wide_left,3,attacking_third,False,6.54,3.14,-3.4,14.54,12.09,-2.45,False,False,False,True,True,3.11,2.06,-1.05,False,5,4,1
256,952209.0,27590,27604,45:57.0,45:58.4,1,2,right_to_left,45,57,1.4,1,off_ball_run,6,pulling_half_space,31930,X. Simons,10738,V. van Dijk,27586,330.0,Netherland,26.19,-4.61,3,center,3,attacking_third,False,24.97,-10.64,4,half_space_right,3,attacking_third,False,-101.44,6.27,16.01,False,False,False,False,False,False,0.0106,0.9868,0.9736,True,False,0,False,True,True,3,ahead,2,same_line,17.53,16.05,19.12,11.43,2,half_space_left,3,attacking_third,False,22.2,5.17,3,center,3,attacking_third,False,7.56,9.27,1.71,18.75,18.26,-0.49,False,False,False,True,False,5.04,8.57,3.52,False,6,7,-1
257,952209.0,28329,28346,45:05.9,45:07.6,2,2,right_to_left,45,5,1.7,1,off_ball_run,2,coming_short,12190,R. Kolo Muani,6028,K. Mbappé,28331,4.0,France,11.22,15.38,2,half_space_left,2,middle_third,False,8.81,22.33,1,wide_left,2,middle_third,False,109.12,7.11,15.84,False,False,False,False,False,False,0.0054,0.7203,0.9519,True,False,0,False,True,True,3,ahead,3,ahead,20.08,14.04,-0.82,31.45,1,wide_left,2,middle_third,False,-0.05,33.22,1,wide_left,2,middle_third,False,2.18,3.41,1.23,39.1,40.28,1.18,False,False,False,True,True,2.21,1.68,-0.53,False,2,3,-1
258,952209.0,28818,28841,45:54.8,45:57.1,2,2,right_to_left,45,54,2.3,1,off_ball_run,4,dropping_off,11516,D. Upamecano,11606,T. Hernández,28824,4.0,France,-9.91,19.55,2,half_space_left,2,middle_third,False,-18.42,27.23,1,wide_left,1,defensive_third,False,137.93,11.18,18.02,False,False,False,False,False,False,0.0005,0.9983,0.8998,True,False,0,True,True,True,1,behind,1,behind,14.51,12.05,-2.98,32.3,1,wide_left,2,middle_third,False,-6.47,25.72,1,wide_left,2,middle_third,False,26.63,33.55,6.92,35.78,37.37,1.59,False,False,False,False,False,4.68,6.42,1.74,False,10,10,0
259,952209.0,28876,28887,46:00.6,46:01.7,2,2,right_to_left,46,0,1.1,1,off_ball_run,4,dropping_off,16320,I. Konaté,7604,M. Maignan,28881,4.0,France,-23.48,-2.03,3,center,1,defensive_third,False,-27.23,-5.01,3,center,1,defensive_third,False,-141.53,4.38,15.61,True,True,False,False,False,False,0.0001,0.9969,0.9707,False,False,0,False,True,False,3,ahead,3,ahead,13.77,13.41,-34.49,6.24,3,center,1,defensive_third,False,-33.56,6.81,3,center,1,defensive_third,False,32.62,34.37,1.75,43.36,45.36,2.0,False,False,False,False,False,6.88,15.37,8.49,True,10,10,0
