tracking.object_id,responsibility_mean,dxt_mean,group_size
277,0.41015372191957467,0.010028496084759548,35
946,0.4686251018080815,0.004861370898661624,34
2106,0.31599354218568676,0.0028775319038896,2
2548,0.29351137824881385,0.0062153956247349,3
3837,0.40975784529473475,0.005125921507900523,21
4777,0.16163502372640087,0.06523396998874055,7
5922,0.38875503301839787,0.002540842751474771,45
6028,0.41994711071870117,0.0014492166837005878,67
7017,0.45905337062199386,0.007954984350388552,27
7387,0.3990066781942365,0.004153095241921776,25
7604,0.3995922359537823,0.0682433599596754,6
7863,0.4878209798092739,0.01675701101935327,27
8206,0.4636433084521935,-0.0011389769333066124,8
10082,0.4877806572286319,0.00986712921493417,33
10738,0.4689961800224908,0.022667656905888327,22
10916,0.4053655581992571,0.010904684463229236,14
11516,0.5586190481568376,0.033877522134308426,21
11606,0.38528466792468585,0.021158307711032567,37
11630,0.42070392681696317,0.007668585117090708,36
12190,0.4383449695702837,0.003856135422580672,47
12218,0.425742021803899,0.020750556661321445,24
12229,0.4284069192066234,0.012925730008491334,3
12246,0.4422324229943777,0.00819014609190307,16
12654,0.7738767159364706,0.00808162342927085,2
14397,0.9503878993829792,0.0149507442960608,1
14407,0.4704379290489937,0.018643379275153745,27
16320,0.4455353748722266,0.03077879641870501,19
20191,0.4898419491947642,0.005238833047405461,5
22103,0.46133217021513245,0.02212861300109683,11
24466,0.36919741189699085,0.025616890561441803,14
31930,0.5221219735176056,0.004237386684107709,21
33512,0.5409888253989689,0.003751688280670275,8
