tracking.object_id_x,tracking.object_id_y,joint_responsibility_mean,joint_responsibility_sum,joint_xt_mean,joint_xt_sum,team_name,group_size
277,946,0.8566222300214493,4.2831111501072465,0.026610564022372156,0.1330528201118608,Netherland,5
277,5922,0.8194260022221934,4.91655601333316,0.0022736794019021997,0.013642076411413198,Netherland,6
277,6028,0.7279473523634166,7.279473523634166,0.00666647121271201,0.0666647121271201,Netherland,10
277,7604,0.5905626980007309,1.1811253960014618,0.042590814269052646,0.08518162853810529,Netherland,2
277,8206,0.8900125533303375,0.8900125533303375,0.0020479369877641,0.0020479369877641,Netherland,1
277,11516,0.9467270776331355,5.6803624657988125,0.02897789620564707,0.1738673772338824,Netherland,6
277,11606,0.9421231563126448,13.189724188377026,0.014472907253475557,0.2026207015486578,Netherland,14
277,11630,0.760385267090087,3.801926335450435,0.016167851017462702,0.0808392550873135,Netherland,5
277,12190,1.007938298998184,6.0476297939891035,0.02162615024964078,0.1297569014978447,Netherland,6
277,12218,1.0682697183807663,9.614427465426898,0.019291969142227867,0.1736277222800508,Netherland,9
277,16320,0.8396573095580434,4.198286547790217,0.02797132859524224,0.1398566429762112,Netherland,5
277,22103,0.7314311611215972,0.7314311611215972,0.016144937193067102,0.016144937193067102,Netherland,1
946,5922,1.0179561694373516,8.143649355498813,-0.00032570060316643753,-0.0026056048253315003,Netherland,8
946,6028,0.19229139772777304,0.19229139772777304,0.004679286582942,0.004679286582942,Netherland,1
946,7604,0.8795836348388658,1.7591672696777316,0.042590814269052646,0.08518162853810529,Netherland,2
946,11516,0.9744421403151317,5.84665284189079,0.021707278390667734,0.1302436703440064,Netherland,6
946,11606,1.6101622177609456,3.220324435521891,0.029059380626668796,0.05811876125333759,Netherland,2
946,11630,1.015236449719567,6.091418698317402,0.011031774107267934,0.0661906446436076,Netherland,6
946,12190,0.7490852402864736,6.741767162578262,0.010057884979789386,0.09052096481810448,Netherland,9
946,12218,1.062749910141544,8.501999281132353,0.022013044284067224,0.1761043542725378,Netherland,8
946,12246,1.0791552546452692,1.0791552546452692,0.0182911204729787,0.0182911204729787,Netherland,1
946,16320,1.0532644272940697,6.3195865637644175,0.027112553036644404,0.16267531821986642,Netherland,6
2106,2548,0.8233073555270962,0.8233073555270962,-0.00021866688842300005,-0.00021866688842300005,France,1
2106,7863,0.44643014616333465,0.44643014616333465,0.0059737306962022,0.0059737306962022,France,1
2106,10738,1.2546121476966605,1.2546121476966605,0.0059737306962022,0.0059737306962022,France,1
2106,24466,0.5138004403090527,0.5138004403090527,0.0059737306962022,0.0059737306962022,France,1
2548,3837,0.680869075243627,1.361738150487254,0.009432426881313849,0.018864853762627698,France,2
2548,10738,0.7288304228402618,0.7288304228402618,0.0149507442960608,0.0149507442960608,France,1
2548,10916,0.44718802408013836,0.44718802408013836,0.0149507442960608,0.0149507442960608,France,1
2548,12654,0.9259690616478218,0.9259690616478218,0.0149507442960608,0.0149507442960608,France,1
2548,14397,1.2751611564253063,1.2751611564253063,0.0149507442960608,0.0149507442960608,France,1
2548,14407,0.12962588204176073,0.12962588204176073,0.0039141094665669,0.0039141094665669,France,1
2548,24466,0.9820652313865206,0.9820652313865206,0.0149507442960608,0.0149507442960608,France,1
3837,7017,1.1224063328068898,4.489625331227559,0.0008399305504011249,0.0033597222016044995,France,4
3837,7387,1.1588828927388362,4.635531570955345,0.00223191170840275,0.008927646833611,France,4
3837,7863,0.9590085648894027,6.713059954225819,0.00765168828442307,0.05356181799096149,France,7
3837,10082,1.4017942998018138,1.4017942998018138,-0.007429996847152901,-0.007429996847152901,France,1
3837,10738,1.138361172310241,5.691805861551205,0.0123002167010216,0.061501083505107995,France,5
3837,10916,0.986440148529891,0.986440148529891,0.0149507442960608,0.0149507442960608,France,1
3837,12654,1.4652211860975743,1.4652211860975743,0.0149507442960608,0.0149507442960608,France,1
3837,14397,1.8144132808750588,1.8144132808750588,0.0149507442960608,0.0149507442960608,France,1
3837,14407,0.6075330145440865,2.430132058176346,0.0010626607820704496,0.0042506431282817985,France,4
3837,24466,0.9295089332715566,3.7180357330862264,0.01480812322147105,0.0592324928858842,France,4
3837,31930,0.7760166663745373,2.328049999123612,0.014815901991106698,0.044447705973320095,France,3
3837,33512,1.0234632732608098,2.0469265465216195,0.020502960080309548,0.041005920160619096,France,2
4777,7017,0.7006701092417974,2.102010327725392,0.057208255778692936,0.17162476733607882,France,3
4777,7387,1.2983206116871142,1.2983206116871142,0.0760537725662074,0.0760537725662074,France,1
4777,7863,0.7222548792793021,2.8890195171172084,0.08109661265662725,0.324386450626509,France,4
4777,10082,0.7286126213844213,1.4572252427688426,0.07416231076249195,0.1483246215249839,France,2
4777,10738,0.8535414028608026,3.4141656114432104,0.0628267178532417,0.2513068714129668,France,4
4777,10916,0.9656226350182282,1.9312452700364564,0.07416231076249195,0.1483246215249839,France,2
4777,14407,0.787501957358889,3.150007829435556,0.0568409727728078,0.2273638910912312,France,4
4777,24466,0.6493333593509901,2.5973334374039605,0.0568409727728078,0.2273638910912312,France,4
5922,6028,0.8776278082253319,1.7552556164506639,0.00141516114337635,0.0028303222867527,Netherland,2
5922,7604,0.9877815194504118,0.9877815194504118,0.050966243387983196,0.050966243387983196,Netherland,1
5922,11516,1.3318514424928405,2.663702884985681,0.033027865371853746,0.06605573074370749,Netherland,2
5922,11606,0.7164309159058866,2.1492927477176598,0.01954424668271353,0.05863274004814059,Netherland,3
5922,11630,0.9575000724538595,11.490000869446314,0.00586070221128645,0.0703284265354374,Netherland,12
