player_id,player_name,short_name,player_birthdate,match_id,match_name,match_date,team_id,team_name,competition_id,competition_name,season_id,season_name,competition_edition_id,position,group,result,venue,third,channel,minutes_played_per_match,adjusted_min_tip_per_match,quality_check,count_pressures_received_in_sample,count_pressures_received_per_match,count_forced_losses_under_pressure_per_match,count_ball_retentions_under_pressure_per_match,ball_retention_ratio_under_pressure,pass_completion_ratio_under_pressure,count_pass_attempts_under_pressure_per_match,count_completed_passes_under_pressure_per_match,count_dangerous_pass_attempts_under_pressure_per_match,count_completed_dangerous_passes_under_pressure_per_match,dangerous_pass_completion_ratio_under_pressure,count_difficult_pass_attempts_under_pressure_per_match,count_completed_difficult_passes_under_pressure_per_match,difficult_pass_completion_ratio_under_pressure
16320,Ibrahima Konaté,I. Konaté,1999-05-25,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RCB,Central Defender,win,home,all,all,97.63,21.68,True,24,24,6,18,75.0,68.42,19,13,1,1,100.0,5,3,60.0
11630,Jules Koundé,J. Koundé,1998-11-12,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RWB,Full Back,win,home,all,all,97.63,21.68,True,16,16,3,13,81.25,78.57,14,11,0,0,,2,2,100.0
20191,Khéphren Thuram-Ulien,K. Thuram,2001-03-26,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LM,Midfield,win,home,all,all,6.92,0.33,True,0,0,0,0,,,0,0,0,0,,0,0,
5922,Kingsley Coman,K. Coman,1996-06-13,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RF,Forward,win,home,all,all,68.82,18.25,True,35,35,11,24,68.57,68.42,19,13,2,1,50.0,5,1,20.0
6028,Kylian Mbappé Lottin,K. Mbappé,1998-12-20,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LF,Forward,win,home,all,all,97.63,21.68,True,36,36,11,25,69.44,80.0,20,16,5,2,40.0,3,0,0.0
12246,Moussa Diaby,M. Diaby,1999-07-07,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RF,Forward,win,home,all,all,28.82,3.43,True,4,4,2,2,50.0,50.0,4,2,1,0,0.0,0,0,
8206,Olivier Giroud,O. Giroud,1986-09-30,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,win,home,all,all,19.18,1.95,True,1,1,0,1,100.0,100.0,1,1,0,0,,0,0,
12190,Randal Kolo Muani,R. Kolo Muani,1998-12-05,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,win,home,all,all,78.45,19.73,True,18,18,5,13,72.22,77.78,9,7,4,3,75.0,3,1,33.33
11606,Theo Hernández,T. Hernández,1997-10-06,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LWB,Full Back,win,home,all,all,97.63,21.68,True,32,32,4,28,87.5,88.46,26,23,2,2,100.0,9,6,66.67
12229,Youssouf Fofana,Y. Fofana,1999-01-10,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RM,Midfield,win,home,all,all,19.18,1.95,True,3,3,2,1,33.33,50.0,2,1,0,0,,0,0,
