match_id,frame_id,x_top_left,y_top_left,x_bottom_left,y_bottom_left,x_bottom_right,y_bottom_right,x_top_right,y_top_right
952209,96,-11.04,39.0,-4.28,-32.86,17.46,-35.92,46.93,39.0
952209,97,-10.82,39.0,-4.19,-32.91,17.54,-36.05,47.28,39.0
952209,98,-10.39,39.0,-4.0,-32.95,17.73,-36.18,47.96,39.0
952209,99,-10.05,39.0,-3.9,-33.03,17.85,-36.3,48.28,39.0
952209,100,-9.71,39.0,-3.75,-33.16,18.03,-36.55,49.05,39.0
952209,101,-9.52,39.0,-3.67,-33.27,18.14,-36.72,49.55,39.0
952209,102,-9.13,39.0,-3.48,-33.38,18.33,-36.93,50.38,39.0
952209,103,-8.98,39.0,-3.41,-33.5,18.4,-37.11,50.8,39.0
952209,104,-8.68,39.0,-3.34,-33.72,18.55,-37.39,51.31,39.0
952209,105,-8.6,39.0,-3.27,-33.78,18.63,-37.52,51.79,39.0
952209,106,-8.57,39.0,-3.26,-34.03,18.71,-37.77,52.24,39.0
952209,107,-8.46,39.0,-3.22,-34.18,18.75,-38.0,52.61,39.0
952209,108,-8.57,39.0,-3.21,-34.45,18.8,-38.31,53.23,39.0
952209,109,-8.63,39.0,-3.21,-34.61,18.83,-38.49,53.59,39.0
952209,110,-8.63,39.0,-3.21,-34.83,18.91,-38.78,54.13,39.0
952209,111,-8.56,39.0,-3.19,-34.94,18.99,-38.9,54.46,39.0
952209,112,-8.62,39.0,-3.19,-35.06,19.02,-39.09,54.85,39.0
952209,113,-8.66,39.0,-3.22,-35.17,19.05,-39.2,54.98,39.0
952209,114,-8.96,39.0,-3.29,-35.29,19.06,-39.31,55.27,39.0
952209,115,-9.07,39.0,-3.34,-35.34,19.08,-39.36,55.36,39.0
952209,116,-9.4,39.0,-3.42,-35.46,19.04,-39.52,55.61,39.0
952209,117,-9.6,39.0,-3.49,-35.51,19.01,-39.56,55.58,39.0
952209,118,-9.8,39.0,-3.57,-35.56,19.0,-39.57,55.52,39.0
952209,119,-10.0,39.0,-3.63,-35.58,18.98,-39.56,55.49,39.0
952209,120,-10.2,39.0,-3.73,-35.55,18.97,-39.53,55.33,39.0
952209,121,-10.34,39.0,-3.79,-35.46,18.96,-39.41,55.17,39.0
952209,122,-10.57,39.0,-3.9,-35.3,18.99,-39.23,54.96,39.0
952209,123,-10.62,39.0,-3.94,-35.11,19.03,-39.04,54.83,39.0
952209,124,-10.62,39.0,-3.98,-34.82,19.13,-38.76,54.7,39.0
952209,125,-10.65,39.0,-3.97,-34.6,19.2,-38.58,54.8,39.0
952209,126,-10.6,39.0,-3.98,-34.44,19.34,-38.41,54.89,39.0
952209,127,-10.44,39.0,-3.92,-34.28,19.4,-38.26,54.92,39.0
952209,128,-10.03,39.0,-3.78,-34.08,19.47,-38.13,54.98,39.0
952209,129,-9.76,39.0,-3.69,-33.99,19.52,-38.06,55.01,39.0
952209,130,-9.48,39.0,-3.6,-33.77,19.51,-37.84,54.68,39.0
952209,131,-9.43,39.0,-3.58,-33.65,19.45,-37.68,54.34,39.0
952209,132,-9.37,39.0,-3.57,-33.56,19.33,-37.52,53.78,39.0
952209,133,-9.36,39.0,-3.57,-33.5,19.21,-37.42,53.37,39.0
952209,134,-9.3,39.0,-3.55,-33.48,19.03,-37.28,52.64,39.0
952209,135,-9.26,39.0,-3.54,-33.43,18.87,-37.19,52.12,39.0
952209,136,-9.41,39.0,-3.59,-33.49,18.68,-37.15,51.55,39.0
952209,137,-9.46,39.0,-3.62,-33.51,18.55,-37.14,51.16,39.0
952209,138,-9.62,39.0,-3.67,-33.56,18.39,-37.08,50.66,39.0
952209,139,-9.72,39.0,-3.71,-33.61,18.27,-37.13,50.41,39.0
952209,140,-9.89,39.0,-3.78,-33.69,18.1,-37.15,49.93,39.0
952209,141,-9.9,39.0,-3.82,-33.75,18.0,-37.15,49.51,39.0
952209,142,-10.17,39.0,-3.91,-33.84,17.87,-37.11,49.1,39.0
952209,143,-10.24,39.0,-3.92,-33.78,17.78,-37.06,48.88,39.0
952209,144,,,,,,,,
952209,145,,,,,,,,
952209,146,,,,,,,,
952209,147,,,,,,,,
952209,148,,,,,,,,
952209,149,,,,,,,,
952209,150,,,,,,,,
952209,151,,,,,,,,
952209,152,,,,,,,,
952209,153,,,,,,,,
952209,154,,,,,,,,
952209,155,,,,,,,,
952209,156,,,,,,,,
952209,157,,,,,,,,
952209,158,-9.62,39.0,-3.87,-32.02,18.45,-35.41,48.71,39.0
952209,159,-9.9,39.0,-3.91,-31.82,18.5,-35.25,48.96,39.0
952209,160,-9.92,39.0,-3.91,-31.61,18.5,-35.02,48.8,39.0
952209,161,-9.87,39.0,-3.89,-31.45,18.51,-34.84,48.65,39.0
952209,162,-9.65,39.0,-3.82,-31.16,18.55,-34.58,48.52,39.0
952209,163,-9.51,39.0,-3.82,-31.06,18.59,-34.52,48.41,39.0
952209,164,-9.41,39.0,-3.71,-30.61,18.66,-34.06,48.44,39.0
952209,165,-9.11,39.0,-3.64,-30.38,18.76,-33.87,48.38,39.0
952209,166,-8.72,39.0,-3.5,-29.98,18.85,-33.47,48.19,39.0
952209,167,-8.38,39.0,-3.42,-29.76,18.93,-33.25,48.03,39.0
952209,168,-7.92,39.0,-3.33,-29.47,19.01,-33.01,47.75,39.0
952209,169,-7.7,39.0,-3.26,-29.23,19.07,-32.75,47.6,39.0
952209,170,-7.69,39.0,-3.21,-28.84,19.06,-32.34,47.37,39.0
952209,171,-7.57,39.0,-3.19,-28.7,19.05,-32.2,47.15,39.0
952209,172,-7.53,39.0,-3.21,-28.57,18.94,-32.03,46.65,39.0
952209,173,-7.61,39.0,-3.18,-28.45,18.86,-31.87,46.49,39.0
952209,174,-7.58,39.0,-3.16,-28.38,18.71,-31.74,46.03,39.0
952209,175,-7.54,39.0,-3.19,-28.47,18.61,-31.75,45.64,39.0
952209,176,-7.67,39.0,-3.24,-28.52,18.43,-31.74,45.22,39.0
952209,177,-7.78,39.0,-3.31,-28.76,18.37,-31.98,45.19,39.0
952209,178,-8.03,39.0,-3.38,-28.9,18.15,-32.05,44.77,39.0
952209,179,-8.1,39.0,-3.47,-29.08,18.03,-32.16,44.39,39.0
952209,180,-8.49,39.0,-3.56,-29.19,17.82,-32.19,44.12,39.0
952209,181,-8.65,39.0,-3.66,-29.33,17.69,-32.29,43.77,39.0
952209,182,-8.96,39.0,-3.76,-29.37,17.5,-32.28,43.39,39.0
952209,183,-9.14,39.0,-3.89,-29.55,17.4,-32.43,43.09,39.0
952209,184,-9.47,39.0,-4.02,-29.73,17.24,-32.59,42.85,39.0
952209,185,-9.64,39.0,-4.15,-29.91,17.19,-32.7,42.59,39.0
952209,186,-10.13,39.0,-4.29,-30.07,17.12,-32.86,42.73,39.0
952209,187,-10.49,39.0,-4.43,-30.29,17.09,-33.04,42.77,39.0
952209,188,-10.97,39.0,-4.61,-30.41,17.01,-33.12,42.68,39.0
952209,189,-11.24,39.0,-4.66,-30.35,16.95,-33.03,42.65,39.0
952209,190,-11.56,39.0,-4.8,-30.49,16.91,-33.16,42.6,39.0
952209,191,-11.78,39.0,-4.88,-30.5,16.87,-33.18,42.59,39.0
