match_id,half,team_name,name,start,end
952209,1,France,OUT_POSSESSION,10944,10967
952209,1,Netherland,IN_POSSESSION,10997,10998
952209,1,France,OUT_POSSESSION,10997,10998
952209,1,France,IN_POSSESSION,11005,11007
952209,1,Netherland,OUT_POSSESSION,11005,11007
952209,1,France,IN_POSSESSION,11101,11191
952209,1,Netherland,OUT_POSSESSION,11101,11191
952209,1,Netherland,IN_POSSESSION,11192,11522
952209,1,France,OUT_POSSESSION,11192,11522
952209,1,France,IN_POSSESSION,11523,11548
952209,1,Netherland,OUT_POSSESSION,11523,11548
952209,1,Netherland,IN_POSSESSION,11549,11685
952209,1,France,OUT_POSSESSION,11549,11685
952209,1,France,IN_POSSESSION,11686,11711
952209,1,Netherland,OUT_POSSESSION,11686,11711
952209,1,Netherland,IN_POSSESSION,11712,11750
952209,1,France,OUT_POSSESSION,11712,11750
952209,1,France,IN_POSSESSION,11751,12116
952209,1,Netherland,OUT_POSSESSION,11751,12116
952209,1,Netherland,IN_POSSESSION,12117,12389
952209,1,France,OUT_POSSESSION,12117,12389
952209,1,France,IN_POSSESSION,12390,12552
952209,1,Netherland,OUT_POSSESSION,12390,12552
952209,1,France,IN_POSSESSION,13248,13260
952209,1,Netherland,OUT_POSSESSION,13248,13260
952209,1,Netherland,IN_POSSESSION,13261,13857
952209,1,France,OUT_POSSESSION,13261,13857
952209,1,France,IN_POSSESSION,13858,13861
952209,1,Netherland,OUT_POSSESSION,13858,13861
952209,1,Netherland,IN_POSSESSION,13862,14104
952209,1,France,OUT_POSSESSION,13862,14104
952209,1,France,IN_POSSESSION,14105,14346
952209,1,Netherland,OUT_POSSESSION,14105,14346
952209,1,France,IN_POSSESSION,14518,14584
952209,1,Netherland,OUT_POSSESSION,14518,14584
952209,1,Netherland,IN_POSSESSION,14585,14747
952209,1,France,OUT_POSSESSION,14585,14747
952209,1,France,IN_POSSESSION,14748,14777
952209,1,Netherland,OUT_POSSESSION,14748,14777
952209,1,Netherland,IN_POSSESSION,14778,14800
952209,1,France,OUT_POSSESSION,14778,14800
952209,1,France,IN_POSSESSION,14801,15016
