match_id,team_name,player_id,player_first_name,player_last_name,player_shirt_number,player_position,player_birthdate,start_time,end_time,yellow_card,red_card,injured,goal,own_goal
952209,Netherland,14397,Tyrell,Malacia,16,Right Wing Back,1999-08-17,01:26:59,,0,0,False,0,0
952209,Netherland,12654,Donyell,Malen,7,Right Winger,1999-01-19,01:06:22,,0,0,False,0,0
952209,Netherland,2548,Davy,Klaassen,14,Attacking Midfield,1993-02-21,01:06:22,,0,0,False,0,0
952209,Netherland,2106,Daley,Blind,17,Left Midfield,1990-03-09,01:06:22,,1,0,False,0,0
952209,Netherland,10916,Wout,Weghorst,9,Center Forward,1992-08-07,00:32:38,,0,0,False,0,0
952209,France,20191,Khéphren,Thuram-Ulien,18,Left Midfield,2001-03-26,01:28:40,,0,0,False,0,0
952209,France,12229,Youssouf,Fofana,6,Right Midfield,1999-01-10,01:16:24,,0,0,False,0,0
952209,France,8206,Olivier,Giroud,9,Center Forward,1986-09-30,01:16:24,,0,0,False,0,0
952209,France,22103,Eduardo,Camavinga,21,Defensive Midfield,2002-11-10,01:16:24,,0,0,False,0,0
952209,France,12246,Moussa,Diaby,19,Right Forward,1999-07-07,01:06:46,,0,0,False,0,0
952209,Netherland,10738,Virgil,van Dijk,4,Left Center Back,1991-07-08,00:00:00,,0,0,False,0,0
952209,Netherland,7863,Nathan,Aké,5,Left Wing Back,1995-02-18,00:00:00,,0,0,False,0,0
952209,Netherland,7387,Memphis,Depay,10,Center Forward,1994-02-13,00:00:00,,0,0,False,0,0
952209,Netherland,24466,Jurriën,Timber Maduro,2,Right Wing Back,2001-06-17,00:00:00,,0,0,False,0,0
952209,Netherland,4777,Jasper,Cillessen,1,Goalkeeper,1989-04-22,00:00:00,,0,0,False,0,0
952209,Netherland,3837,Georginio,Wijnaldum,8,Attacking Midfield,1990-11-11,00:00:00,,0,0,False,0,0
952209,Netherland,14407,Lutsharel,Geertruida,3,Right Center Back,2000-07-18,00:00:00,01:26:59,1,0,False,0,0
952209,Netherland,31930,Xavi Quentin Shay,Simons,12,Left Winger,2003-04-21,00:00:00,01:06:22,0,0,False,0,0
952209,Netherland,10082,Steven,Berghuis,11,Right Winger,1991-12-19,00:00:00,01:06:22,0,0,False,0,0
952209,Netherland,7017,Marten,de Roon,15,Right Midfield,1991-03-29,00:00:00,01:06:22,0,0,False,0,0
952209,Netherland,33512,Kenneth,Taylor,22,Left Midfield,2002-05-16,00:00:00,00:32:38,0,0,False,0,0
952209,France,11606,Theo,Hernández,22,Left Wing Back,1997-10-06,00:00:00,,1,0,False,0,0
952209,France,7604,Mike,Maignan,16,Goalkeeper,1995-07-03,00:00:00,,0,0,False,0,0
952209,France,6028,Kylian,Mbappé Lottin,10,Left Forward,1998-12-20,00:00:00,,0,0,False,2,0
952209,France,11630,Jules,Koundé,5,Right Wing Back,1998-11-12,00:00:00,,0,0,False,0,0
952209,France,16320,Ibrahima,Konaté,13,Right Center Back,1999-05-25,00:00:00,,1,0,False,0,0
952209,France,11516,Dayot,Upamecano,4,Left Center Back,1998-10-27,00:00:00,,1,0,False,1,0
952209,France,277,Adrien,Rabiot,14,Left Midfield,1995-04-03,00:00:00,01:28:40,1,0,False,0,0
952209,France,12190,Randal,Kolo Muani,12,Center Forward,1998-12-05,00:00:00,01:16:24,0,0,False,0,0
952209,France,12218,Aurélien,Tchouaméni,8,Defensive Midfield,2000-01-27,00:00:00,01:16:24,0,0,False,0,0
952209,France,946,Antoine,Griezmann,7,Right Midfield,1991-03-21,00:00:00,01:16:24,0,0,False,1,0
952209,France,5922,Kingsley,Coman,20,Right Forward,1996-06-13,00:00:00,01:06:46,0,0,False,0,0
