player_id,player_name,short_name,player_birthdate,match_id,match_name,match_date,team_id,team_name,competition_id,competition_name,season_id,season_name,competition_edition_id,position,group,result,venue,third,channel,minutes_played_per_match,adjusted_min_tip_per_match,quality_check,count_opportunities_to_pass_to_runs_in_sample,count_opportunities_to_pass_to_runs_per_match,count_pass_attempts_to_runs_per_match,pass_opportunities_to_runs_threat_per_match,runs_to_which_pass_attempted_threat_per_match,pass_completion_ratio_to_runs,count_runs_by_teammate_per_match,runs_to_which_pass_completed_threat_per_match,count_completed_pass_to_runs_per_match,count_completed_pass_to_runs_leading_to_shot_per_match,count_completed_pass_to_runs_leading_to_goal_per_match,count_pass_opportunities_to_dangerous_runs_per_match,count_pass_attempts_to_dangerous_runs_per_match,count_completed_pass_to_dangerous_runs_per_match
7863,Nathan Aké,N. Aké,1995-02-18,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LWB,Full Back,lose,away,all,all,97.63,33.3,True,26,26,15,0.23,0.16,80.0,34,0.13,12,0,0,3,2,2
8206,Olivier Giroud,O. Giroud,1986-09-30,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,win,home,all,all,19.18,1.95,True,1,1,1,0.01,0.01,100.0,1,0.01,1,0,0,0,0,0
12190,Randal Kolo Muani,R. Kolo Muani,1998-12-05,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,win,home,all,all,78.45,19.73,True,7,7,5,0.36,0.34,60.0,11,0.16,3,1,1,4,4,2
10082,Steven Berghuis,S. Berghuis,1991-12-19,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RW,Winger,lose,away,all,all,68.42,23.52,True,9,9,5,0.16,0.06,80.0,16,0.04,4,1,0,3,1,1
11606,Theo Hernández,T. Hernández,1997-10-06,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,LWB,Full Back,win,home,all,all,97.63,21.68,True,15,15,5,0.08,0.02,100.0,16,0.02,5,0,0,1,0,0
14397,Tyrell Malacia,T. Malacia,1999-08-17,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,RWB,Full Back,lose,away,all,all,8.6,2.45,True,3,3,2,0.03,0.03,50.0,6,0.0,1,0,0,1,1,0
10738,Virgil van Dijk,V. van Dijk,1991-07-08,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LCB,Central Defender,lose,away,all,all,97.63,33.3,True,23,23,11,0.16,0.03,100.0,28,0.03,11,0,0,2,0,0
10916,Wout Weghorst,W. Weghorst,1992-08-07,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,CF,Forward,lose,away,all,all,65.0,19.94,True,5,5,3,0.51,0.5,0.0,7,0.0,0,0,0,3,3,0
31930,Xavi Quentin Shay Simons,X. Simons,2003-04-21,952209,France v Netherland,2023-03-24,330,Netherland,34,European Championship Qualifiers,28,2023/2024,576,LW,Winger,lose,away,all,all,68.42,23.52,True,13,13,8,0.47000000000000003,0.4,75.0,19,0.25,6,2,0,4,3,2
12229,Youssouf Fofana,Y. Fofana,1999-01-10,952209,France v Netherland,2023-03-24,4,France,34,European Championship Qualifiers,28,2023/2024,576,RM,Midfield,win,home,all,all,19.18,1.95,True,0,0,0,0.0,0.0,,0,0.0,0,0,0,0,0,0
