frame,player.id.skillcorner,pass.recipient.id.skillcorner,location.x,location.y,pass.endLocation.x,pass.endLocation.y,dxt,responsibility
49586,24466,2106,16.941176470588232,14.66,6.352941176470587,4.227692307692307,0.0032403342874249004,0.01957376710191061
49605,2106,10738,6.352941176470587,4.227692307692307,7.411764705882348,-7.750769230769231,-0.00044886239854580005,0.6561620719531286
50146,14407,10738,6.352941176470587,16.493333333333332,9.529411764705884,-12.826666666666668,-0.0007500182465599997,0.4008008258610257
50837,7387,14407,-0.0,-5.636923076923077,-27.529411764705884,26.71578947368421,0.0211567272260811,0.018295247467895213
52013,2106,12654,4.235294117647058,4.932307692307693,-12.705882352941174,25.258947368421055,0.0076302790918841,0.5316684284941449
54527,10916,2106,1.058823529411768,-0.7046153846153846,14.82352941176471,-1.4092307692307693,-0.0042977454510564,0.35862632518822063
54548,2106,14397,14.82352941176471,-1.4092307692307693,14.82352941176471,26.71578947368421,-0.0008335444610219002,0.2713207674527508
54691,24466,10738,18.0,7.750769230769231,14.82352941176471,-11.604444444444445,0.0005418013834447002,0.24497356267797885
55974,14397,10738,7.411764705882348,23.073684210526316,14.82352941176471,-16.493333333333332,-0.0014456638087993997,0.4017425254298681
56099,10738,24466,8.470588235294116,-19.54888888888889,12.705882352941174,4.932307692307693,-0.0008551735128957006,0.06571489513513418
56130,24466,10738,12.705882352941174,4.932307692307693,4.235294117647058,-19.54888888888889,0.0021200038959526,0.47587994070678596
56757,14397,10738,-6.352941176470587,23.802105263157895,10.588235294117652,-7.046153846153846,-0.0052425318562492,0.2546991352955943
56776,10738,2106,10.588235294117652,-7.046153846153846,4.235294117647058,4.932307692307693,0.0021111008045832996,0.6884639794476941
56790,2106,7863,4.235294117647058,4.932307692307693,-1.058823529411768,-22.345263157894735,0.0008915275578539007,0.3119245895243869
